	x	y	frame	particle
0	1142.1820068359375	571.81298828125	2	0
1	1184.2027587890625	490.8958740234375	2	1
2	1149.194091796875	458.3899230957031	2	2
3	1097.8087158203125	447.4856872558594	2	3
4	953.6837158203125	294.99652099609375	2	4
0	955.3854370117188	282.764892578125	3	4
0	1116.2015380859375	556.5621948242188	4	0
1	1110.8204345703125	518.9240112304688	4	5
2	1130.5841064453125	428.92535400390625	4	2
3	953.98779296875	278.2580871582031	4	4
2	1145.5479736328125	414.6110534667969	5	2
0	881.68701171875	745.8145141601562	5	7
1	1174.56591796875	565.2169189453125	5	6
0	885.1849975585938	744.02294921875	6	7
6	1158.6729736328125	420.13629150390625	7	2
0	886.0307006835938	747.1264038085938	7	7
1	1213.39990234375	692.8441162109375	7	9
2	1167.55126953125	613.7306518554688	7	8
3	1109.2037353515625	547.1273803710938	7	0
4	1188.288330078125	552.0309448242188	7	6
5	1100.8076171875	505.9386901855469	7	5
1	390.93133544921875	595.767333984375	8	10
0	866.2293090820312	766.1683959960938	8	7
0	868.5354614257812	764.172119140625	9	7
1	1149.9620361328125	613.2921752929688	9	8
2	390.7896728515625	599.8389282226562	9	10
3	541.5162353515625	219.21697998046875	9	11
0	390.0055847167969	598.7803955078125	10	10
1	537.500732421875	207.17308044433594	10	11
0	390.47174072265625	604.3812255859375	11	10
1	539.1746826171875	213.17298889160156	11	11
3	507.9820556640625	128.1429901123047	12	12
2	540.0822143554688	216.2027587890625	12	11
0	388.4132080078125	606.4537353515625	12	10
1	381.26287841796875	279.2210693359375	12	13
0	387.5470275878906	608.0242309570312	13	10
1	388.22650146484375	280.28643798828125	13	13
2	541.31640625	220.5391845703125	13	11
3	503.1430358886719	130.486083984375	13	12
3	504.00604248046875	129.31381225585938	14	12
0	386.85772705078125	609.9706420898438	14	10
1	390.4310607910156	279.7073059082031	14	13
2	541.6229248046875	219.13894653320312	14	11
2	541.4659423828125	218.76370239257812	15	11
3	508.2015380859375	127.8831787109375	15	12
0	386.8623352050781	613.28662109375	15	10
1	392.867431640625	280.3501281738281	15	13
0	949.6318969726562	668.2379150390625	16	14
1	386.7287902832031	615.281005859375	16	10
2	991.8943481445312	280.1577453613281	16	4
3	393.4855651855469	280.98504638671875	16	13
4	510.45220947265625	127.58267974853516	16	12
3	394.24609375	281.835205078125	17	13
2	994.2503051757812	282.374267578125	17	4
4	511.4719543457031	126.34508514404297	17	12
0	948.0107421875	669.8787231445312	17	14
1	387.00103759765625	614.1767578125	17	10
1	995.306396484375	284.6443786621094	18	4
2	392.6923828125	283.4123229980469	18	13
3	513.780029296875	127.75265502929688	18	12
0	946.1731567382812	672.6124877929688	18	14
0	945.9605712890625	674.7718505859375	19	14
1	994.1334838867188	284.70843505859375	19	4
2	392.0921630859375	286.4445495605469	19	13
3	1033.82275390625	204.33387756347656	19	15
4	515.0790405273438	129.08262634277344	19	12
3	1031.486328125	204.4332275390625	20	15
4	517.6870727539062	127.22056579589844	20	12
2	389.2696838378906	290.65521240234375	20	13
0	944.4334716796875	677.7985229492188	20	14
1	636.411376953125	624.2877197265625	20	16
0	943.8571166992188	679.2094116210938	21	14
1	631.69384765625	624.9444580078125	21	16
2	388.480224609375	292.52606201171875	21	13
3	1030.8804931640625	203.00013732910156	21	15
