	x	y	frame	particle
0	957.9267999036841	501.6397784733927	1	0
1	959.5	539.5	1	1
0	957.9267999036841	501.6397784733927	1	2
1	959.5	539.5	1	3
0	957.9267999036841	501.6397784733927	1	4
1	959.5	539.5	1	5
0	957.9267999036841	501.6397784733927	1	6
1	959.5	539.5	1	7
0	957.9267999036841	501.6397784733927	1	8
1	959.5	539.5	1	9
1	1015.7142857142857	811.1428571428571	6	11
0	1009.0	811.0	6	10
0	1383.5	932.5	7	15
1	1397.0	928.0	7	14
2	1015.5	812.0	7	11
3	1006.0	811.5	7	10
4	618.0	683.5	7	13
5	343.5	633.0	7	12
1	1372.0	931.5625	8	14
1	1372.0	931.5625	8	15
0	1358.8	932.4	8	20
1	1372.0	931.5625	8	17
0	1358.8	932.4	8	22
1	1372.0	931.5625	8	18
0	1358.8	932.4	8	19
1	1372.0	931.5625	8	16
0	1358.8	932.4	8	21
0	1358.8	932.4	8	23
0	643.0	81.0	13	24
0	1037.7692307692307	340.7692307692308	14	25
0	1037.7692307692307	340.7692307692308	14	26
2	1038.0	338.0	16	25
1	1055.0	341.0	16	29
2	1038.0	338.0	16	26
1	1055.0	341.0	16	28
0	368.0	388.5	16	31
2	1038.0	338.0	16	27
1	1055.0	341.0	16	30
0	368.0	388.5	16	32
0	368.0	388.5	16	33
0	630.5	704.625	19	34
1	621.3333333333334	693.7777777777778	19	13
1	622.3333333333334	695.5	20	13
2	342.0	639.625	20	12
0	629.5	706.0	20	34
0	629.5	706.0	21	34
1	623.6666666666666	697.3333333333334	21	13
2	341.8181818181818	639.8181818181819	21	12
3	1035.625	346.125	21	27
4	1030.5	342.0	21	25
5	635.8	80.8	21	24
4	635.0	83.53846153846153	22	24
3	1033.0	344.8125	22	27
0	624.5	698.5	22	13
1	343.0	641.0	22	35
2	341.0	640.0	22	12
0	1032.5	345.55	23	27
1	741.0	294.25	23	36
2	633.5	83.0	23	24
0	1028.0	343.0	24	25
1	624.0	82.0	24	24
0	768.0	77.0	25	37
0	841.0	925.5	26	38
1	1027.0	342.0	26	25
2	767.5	77.0	26	37
1	752.0	290.0	27	39
2	748.0	288.0	27	36
0	371.0	395.5	27	31
0	623.0	704.0	28	13
1	335.6875	630.0	28	12
2	748.2173913043479	287.30434782608694	28	36
0	621.6666666666666	702.5	29	13
1	336.25	632.0	29	35
2	334.0	627.0	29	12
3	336.0	625.0	29	40
4	1030.2666666666667	337.53333333333336	29	25
5	747.7037037037037	286.14814814814815	29	36
6	621.625	78.375	29	24
4	747.4666666666667	285.7	30	36
5	621.1111111111111	78.33333333333333	30	24
3	1028.8333333333333	337.1666666666667	30	25
0	621.4166666666666	702.5	30	13
1	334.0	627.5	30	12
2	372.0	393.0	30	31
0	841.6666666666666	920.6666666666666	31	38
1	621.1666666666666	705.0	31	13
2	504.6666666666667	564.6666666666666	31	42
3	1027.6363636363637	337.95454545454544	31	25
4	741.0	285.0	31	36
5	749.24	285.8	31	39
6	621.5	79.0	31	24
7	620.0	77.0	31	41
4	620.6666666666666	79.33333333333333	32	24
3	750.5	285.0	32	36
0	621.3125	706.0	32	13
1	1023.0	340.5	32	25
2	753.0	286.5	32	39
5	618.7142857142857	81.28571428571429	33	41
0	620.4615384615385	705.9230769230769	33	13
1	1026.7142857142858	345.42857142857144	33	27
2	1022.375	342.0	33	25
3	620.5	86.0	33	24
4	768.6666666666666	81.66666666666667	33	37
2	618.9	86.05	34	24
3	770.1428571428571	82.85714285714286	34	37
0	620.5714285714286	707.4285714285714	34	13
1	1024.7058823529412	344.3529411764706	34	27
0	1234.25	884.0	35	43
1	626.0	722.125	35	34
2	621.375	710.0	35	13
3	1023.7826086956521	344.4782608695652	35	27
4	617.5833333333334	84.25	35	24
5	769.7037037037037	83.85185185185185	35	37
8	768.6896551724138	83.75862068965517	36	37
7	614.6666666666666	85.43333333333334	36	24
6	1024.0416666666667	345.25	36	27
5	621.25	711.0	36	13
2	1234.5	885.0	36	43
3	1233.7142857142858	870.7142857142857	36	44
1	841.5	931.5	36	38
0	1372.5	932.1666666666666	36	18
4	626.0	724.5	36	34
6	619.0	708.5	37	45
9	614.2333333333333	85.86666666666666	37	24
10	768.7241379310345	83.93103448275862	37	37
7	1023.2857142857143	345.3809523809524	37	27
5	621.8333333333334	713.3333333333334	37	13
8	755.0	293.0	37	39
